t,x,y,yaw,wz,cmd_w,phase
10.6,33.99968338012695,40.799983978271484,-0.00024742888260592775,-3.657356137409806e-05,0.0,idle
10.616666666,33.99968338012695,40.79997634887695,-0.00026218121083734455,1.6421137161160004e-06,0.0,idle
10.633333333,33.99967956542969,40.799991607666016,-0.0002444008794238907,-2.655494427017402e-06,0.0,idle
10.65,33.99967956542969,40.799983978271484,-0.0002481150420166423,1.1354892421877594e-06,0.0,idle
10.666666666,33.999671936035156,40.799983978271484,-0.0002462504914511651,4.047443781018956e-06,0.0,idle
10.683333333,33.99967956542969,40.79997634887695,-0.00025601218898160447,8.30566386866849e-06,0.0,idle
10.7,33.99967956542969,40.799991607666016,-0.00024179740718014358,2.6184728994849138e-05,0.0,idle
10.716666666,33.99967956542969,40.799983978271484,-0.0002551508618790586,1.840345976233948e-05,0.0,idle
10.733333333000001,33.99967575073242,40.79997634887695,-0.0002690013072641944,1.1734849749700516e-06,0.0,idle
10.75,33.99967956542969,40.79998779296875,-0.00025226511429005127,-7.248084330058191e-06,0.0,idle
10.766666666,33.99967575073242,40.79997634887695,-0.0002665895823671452,-1.0812041182362009e-05,0.0,idle
10.783333333,33.99968338012695,40.79998779296875,-0.00024893259321128033,1.4634985745942686e-05,0.0,idle
10.8,33.99967956542969,40.79997634887695,-0.0002661610621181551,-0.00039744339301250875,0.0,idle
10.816666666,33.99968338012695,40.79998779296875,-0.00024856876460516066,1.7230428056791425e-05,0.0,idle
10.833333333,33.99968338012695,40.79997634887695,-0.0002630695287925773,-1.7847842173068784e-05,0.0,idle
10.85,33.99968338012695,40.799991607666016,-0.00024497072269138526,1.4638164884672733e-06,0.0,idle
10.866666666,33.99968338012695,40.799983978271484,-0.0002540128610905859,3.33894763571152e-06,0.0,idle
10.883333333,33.99968338012695,40.79998016357422,-0.0002626698917624465,-1.0451945854583755e-05,0.0,idle
10.9,33.99968338012695,40.79998016357422,-0.00026095143042925364,2.1656180251738988e-05,0.0,idle
10.916666666,33.99968338012695,40.79997634887695,-0.0002645215650516941,9.15361124498304e-06,0.0,idle
10.933333333,33.99967956542969,40.79998779296875,-0.00024672319337951093,-1.2939751741214423e-06,0.0,idle
10.95,33.99967956542969,40.79998016357422,-0.0002504206090039439,-2.2975916635914473e-06,0.0,idle
10.966666666,33.999671936035156,40.79998016357422,-0.00024813845907785897,1.5003249245637562e-05,0.0,idle
